Altium Designer Pick and Place Locations
C:\Users\Person\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCb.txt

========================================================================================================================
File Design Information:

Date:       27/07/23
Time:       10:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                             Layer    Footprint                            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
S*27       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 21740.000     1325.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*13       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 23965.000     1875.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
D28        1N4148WS                            TopLayer SODFL250X100-2N                      25180.000     995.000       0        "Small Signal Diode, 75 V, 0.15 A, -55 to 150 degC, 2-Pin SOD-323, RoHS, Tape and Reel"                    
D14        1N4148WS                            TopLayer SODFL250X100-2N                      25205.000     2465.000      0        "Small Signal Diode, 75 V, 0.15 A, -55 to 150 degC, 2-Pin SOD-323, RoHS, Tape and Reel"                    
U1         TCA8418RTWR                         TopLayer RTW24-2450X2450TP                    18480.000     5345.000      90       "I2C Controlled Keypad Scan IC, 1.65 to 3.6 V, -40 to 85 degC, 24-pin QFN (RTW), Green (RoHS & no Sb/Br)"  
U3         TCA8418RTWR                         TopLayer RTW24-2450X2450TP                    13515.000     1115.000      180      "I2C Controlled Keypad Scan IC, 1.65 to 3.6 V, -40 to 85 degC, 24-pin QFN (RTW), Green (RoHS & no Sb/Br)"  
S*         Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 13035.000     4150.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*85       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24350.000     4345.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*83       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24710.000     2910.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*82       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 19435.127     905.876       12.5     "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*81       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24185.000     5050.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*80       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24535.000     3630.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*79       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24005.000     1125.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack"                                         
S*78       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 24680.000     2225.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*77       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 23310.000     2730.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
S*76       Key                                 TopLayer Adafruit_Industries_4958-Footprint-1 23470.000     3450.000      0        "Kailh Switch Sockets for MX-compatible Mechanical Keys - 20 Pack CAN ALSO BE REPLACED WITH 5118 FOR CHOC" 
